,eCO2-1,eCO2-2,eCO2-3,eCO2-4,eCO2-5,eCO2-6,Abundance,Type,phylum,class,order,family,genus,species,
PASV349,0.000235923,0.00070777,0.000353885,0.00074709,7.86E-05,0.000904372,0.000504607,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV408,0.000550488,0.000865052,0,0,0,0.000511167,0.000321118,phoD,p__Actinobacteria_d__Bacteria,c__Actinobacteria_p__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces_sp._3124.6,
PASV755,0.000275244,0.000235923,0.000353885,0.000904372,0.00074709,0.00070777,0.000537381,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV584,0.000550488,0,0.00074709,0.001415539,0.00074709,0.000353885,0.000635682,phoD,p__Actinobacteria_d__Bacteria,c__Actinobacteria_p__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces_parvulus,
PASV215,0.000511167,0.000511167,0.000511167,0.000353885,0,0.000235923,0.000353885,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV335,0.00074709,0.000511167,0,0.001061655,0.000471846,0.000786411,0.000596362,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV3242,0,0.002516515,0,0,0.002005348,0.000904372,0.000904373,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV455,0,0.001022334,0,0,0.000550488,0.000275244,0.000308011,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__Sinorhizobium_sp._CCBAU_05631,
PASV306,0.00074709,0,0.001808745,0,0.000589808,0,0.000524274,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV393,0,0,0,0,0.001966027,0.000471846,0.000406312,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_sp._SK17,
PASV568,0.000275244,0.000471846,0.000825731,0.00070777,0.000629129,0,0.000484953,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV769,0,0.001415539,0,0,0,0,0.000235923,phoD,p__Actinobacteria_d__Bacteria,c__Actinobacteria_p__Actinobacteria,o__Streptosporangiales,f__Nocardiopsaceae,g__Nocardiopsis,s__Nocardiopsis_dassonvillei,
PASV510,0.000471846,0.000629129,0.001061655,0.000550488,0.000314564,0.000629129,0.000609469,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV235,0.000629129,0,0,0.000786411,0,0,0.000235923,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV2379,0,0,0,0.000314564,0.000825731,0.001415539,0.000425972,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV608,0.000432526,0.000432526,0.00074709,0.000157282,0.00074709,0.000196603,0.000452186,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV539,0.000825731,0.000589808,0.000157282,0.000393205,0.000196603,0.000511167,0.000445633,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV380,0.000432526,0.00070777,0.000511167,0.000393205,0.000314564,0,0.000393205,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV685,0,7.86E-05,0,0.00216263,0.000157282,0.000629129,0.000504607,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV450,0.00070777,0.000393205,0.001022334,0.000904372,0,0.000432526,0.000576701,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV334,0.000393205,0.000825731,0,0.000511167,0,0.000314564,0.000340778,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV233,0,0.000589808,0.000275244,0.000275244,0.000393205,0.000471846,0.000334225,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV378,0.000353885,0.000668449,0.000629129,7.86E-05,0.000117962,0.000511167,0.000393199,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV505,0.000589808,0.000629129,0.000511167,0.000196603,0.000275244,0.000353885,0.000425973,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV366,0.000629129,0.000589808,0,0,0.000786411,0.000432526,0.000406312,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV4078,0,0,0,0,0.001258257,0.001179616,0.000406312,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__Mesorhizobium_amorphae,
PASV631,0.000904372,0.00074709,0.000668449,0.00074709,0.000786411,0.000865052,0.000786411,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__Sinorhizobium_meliloti,
PASV348,0,0.000393205,0.000550488,0.000275244,0.000314564,0.000314564,0.000308011,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV493,0,0.000157282,0,0,0.001022334,0.000235923,0.000235923,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_soil_bacterium,
PASV808,0.000314564,0.000314564,0.000393205,7.86E-05,0.000275244,0.00220195,0.000596355,phoD,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_mandelii,
PASV522,0.000471846,0.000943693,0.000275244,0.000117962,0.000589808,0.000511167,0.000484953,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV527,0.00074709,0.000393205,0.000668449,0.000786411,0,0,0.000432526,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV440,0,0.002044668,0,0,0,0,0.000340778,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV834,0,0.001336898,0,0,0,0,0.000222816,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV718,0.001336898,0.000235923,7.86E-05,0.000511167,0.000353885,0,0.000419412,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV369,0.000550488,0.000668449,0.000235923,0.000275244,0.000511167,0.000275244,0.000419419,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV594,0.001100975,0,0.000353885,0,0.000511167,0.000471846,0.000406312,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium_contig00036,
PASV456,0,0.000471846,0.000589808,0.00070777,0.000196603,0.000157282,0.000353885,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV295,0.000983014,0.000235923,0,0.000432526,3.93E-05,0.000275244,0.000327668,phoD,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Zoogloeaceae,g__Azoarcus,s__Azoarcus_sp._CIB,
PASV866,0.000353885,7.86E-05,0.000668449,0.000511167,0.000471846,0.000353885,0.000406305,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV610,0.000235923,0.000353885,0,0.00070777,0.000275244,0.000275244,0.000308011,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV711,0.000432526,0.000550488,0.000235923,0.000786411,0.000393205,7.86E-05,0.000412859,phoD,p__Actinobacteria_d__Bacteria,c__Rubrobacteria,o__Rubrobacterales,f__Rubrobacteraceae,g__Rubrobacter,s__Rubrobacter_xylanophilus,
PASV341,0.000786411,0.001140296,0,0,0.000196603,0,0.000353885,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV548,0,0.000353885,0.000353885,0.000314564,0.000157282,0.000471846,0.000275244,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV609,0.000629129,0,0.000432526,0.000471846,0.00074709,0.000353885,0.000439079,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV2384,0,0,0,0.001022334,0.000511167,0,0.000255584,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV882,0.000235923,0,0.000235923,0.000629129,0.001022334,0.000117962,0.000373545,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV5560,0.00070777,0.001336898,0,0,0.001140296,0,0.000530827,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV383,0,0,0.001808745,0,0,0.000471846,0.000380099,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV595,0.000393205,0.000904372,0.000393205,0.000353885,0.000471846,3.93E-05,0.000425969,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV442,0.00070777,0,0.001100975,0,0.000471846,0,0.000380099,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV533,0,0,0.000943693,0,0.001494181,0.000629129,0.000511167,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__Sinorhizobium_fredii,
PASV556,0.000235923,0.000432526,0.000275244,0,0.00074709,0.000196603,0.000314564,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV1025,0.000196603,0,0.000432526,0.000471846,0.000196603,0.000393205,0.000281797,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV343,0.001061655,0.000904372,0,0,0,0,0.000327671,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV2419,0.000196603,0,0,0.000157282,0,0.000983014,0.000222817,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Aurantimonadaceae,g__Aurantimonas,s__Aurantimonas_coralicida,
PASV716,0,0,0.000117962,0.001297578,0,0,0.000235923,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_sp._S23321,
PASV679,0.000550488,0.00070777,0.000275244,0.000314564,0.000511167,0.000589808,0.000491507,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV600,0,0,0.000668449,0.000117962,0,0.000353885,0.000190049,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV274,0,0,0,0.000511167,0.000511167,0,0.000170389,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV429,0.000904372,0.000393205,0.000432526,0.000157282,0.001022334,0,0.000484953,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV536,0,0,0.000589808,0,0.001494181,0.000511167,0.000432526,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__Mesorhizobium_sp._B7,
PASV803,0,0.000393205,0,0.000196603,0.000235923,0.000550488,0.00022937,phoD,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_stutzeri,
PASV4817,0,0.00216263,0,0,0,0.00216263,0.000720877,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__Sinorhizobium_medicae,
PASV1236,0.001022334,0,0,0.000668449,0.000786411,0.000314564,0.000465293,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__Sinorhizobium_sp._CCBAU_05631,
PASV675,0.001179616,0,0,0.001140296,0.000786411,0.00074709,0.000642236,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__Sinorhizobium_meliloti,
PASV3213,0.003067002,0,0,0,0,0,0.000511167,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_sp._CCGE-LA001,
PASV3250,0,0.001258257,0.00074709,0.000904372,0.000589808,0,0.000583255,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__Sinorhizobium_sp._CCBAU_05631,
PASV757,0.000668449,0.000275244,0.000511167,0,0.000629129,0.000393205,0.000412866,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV906,0,0.000353885,0.000314564,0.001061655,0.000235923,0.000275244,0.000373545,phoD,p__Actinobacteria_d__Bacteria,c__Actinobacteria_p__Actinobacteria,o__Glycomycetales,f__Glycomycetaceae,g__Stackebrandtia,s__Stackebrandtia_nassauensis,
PASV439,0,0,0,0.000629129,0.00074709,0,0.00022937,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV815,0.000393205,0.000275244,0,0,0.00070777,0.000511167,0.000314564,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV558,0.000157282,0.000275244,0.000550488,0.000865052,0.000196603,0.000235923,0.000380099,phoD,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_stutzeri,
PASV434,0.000550488,0.000904372,0,0,0.000235923,0.000235923,0.000321118,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Ensifer,s__Ensifer_adhaerens,
PASV532,0.000393205,0.000511167,0,0,0.001140296,0.000393205,0.000406312,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Ensifer,s__Ensifer_sojae,
PASV2434,0.000589808,0.000393205,0.000314564,0.000157282,0.000825731,0.000511167,0.000465293,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV943,0.000157282,0.000235923,0.000196603,0.000629129,0.000471846,0,0.000281797,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV364,0,0.000432526,0,0.000550488,0.000393205,0,0.00022937,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV384,0.000117962,0.000589808,0,0.000314564,0.000196603,0.000157282,0.00022937,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV721,0.00070777,0.000353885,0,0.000825731,0.00074709,0,0.000439079,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV488,0,0.000314564,0,0.000432526,0,0.000629129,0.00022937,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV4814,0,0.000157282,0,0,0,0.003302925,0.000576701,phoD,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_mandelii,
PASV543,0,0,0,0.001061655,0,0,0.000176943,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV2756,0,0,0,0.000117962,0.002831079,0,0.000491507,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV337,0,0,0.001258257,0,0.00070777,0,0.000327671,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Afipia,s__Afipia_sp._GAS231,
PASV921,0.000511167,0,0.000393205,0,0.000589808,0.000668449,0.000360438,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV589,0.000943693,0,0,0,0,0.000786411,0.000288351,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV405,0,0.00070777,0,0,0.000393205,0,0.000183496,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV813,0.000511167,0.000275244,0.000589808,0,0.000393205,0,0.000294904,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV565,7.86E-05,0.00074709,0.000196603,0.000511167,0,0.000275244,0.000301451,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV781,0.000393205,0.00070777,0.000629129,0,0.000550488,0.000393205,0.000445633,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__Sinorhizobium_sp._CCBAU_05631,
PASV530,0.000589808,0.000471846,0,0,7.86E-05,0.000589808,0.000288344,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_icense,
PASV391,0,0.000235923,0.000235923,0.000196603,0,0.000432526,0.000183496,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__Sinorhizobium_fredii,
PASV427,0.000393205,0.000157282,0,0.000353885,0,0.000786411,0.000281797,phoD,p__Actinobacteria_d__Bacteria,c__Actinobacteria_p__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Rhodococcus_f__Nocardiaceae,s__Rhodococcus_fascians,
PASV3223,0.00074709,0.000393205,0,0,0,0.000786411,0.000321118,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV339,0.001100975,0,0,0,0.000668449,0,0.000294904,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV2395,0.000589808,0.000235923,0,0.00070777,0,0,0.000255584,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Afipia,s__Afipia_sp._GAS231,
PASV644,0.000196603,0.000157282,0.000353885,0.000275244,0.000196603,0.000157282,0.000222817,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV457,0,0.000550488,0,0.000157282,0.000550488,3.93E-05,0.00021626,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV8750,0,0.001022334,0,0.002241271,0,0,0.000543934,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Ensifer,s__Ensifer_adhaerens,
PASV612,0.000275244,0.000393205,0.000353885,0,0,0,0.000170389,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV4815,0,0,0,0,0,0.00216263,0.000360438,phoD,p__Actinobacteria_d__Bacteria,c__Actinobacteria_p__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Saccharomonospora,s__Saccharomonospora_viridis,
PASV669,0,0,0,0.001572822,0,0.000314564,0.000314564,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium_contig00036,
PASV607,0.000275244,0.000353885,0,0.000393205,0.000117962,0.000314564,0.000242477,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV697,0.000235923,0.000629129,0.000196603,7.86E-05,0.000393205,7.86E-05,0.000268677,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV6370,0.000353885,0,0,0,0.002595156,0,0.000491507,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV597,0,0,0,0,0.000825731,0.000511167,0.000222816,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_sp._SK17,
PASV4821,0,0.000511167,0,0,0,0.000983014,0.00024903,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium,
PASV4199,0,0,0.000471846,0,0,0.001572822,0.000340778,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_icense,
