,aCO2-1,aCO2-2,aCO2-3,aCO2-4,aCO2-5,aCO2-6,Abundance,Type,phylum,class,order,family,genus,species
PASV461,0.000432526,0,0.001140296,0.000393205,0,0.000668449,0.000439079,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV567,0.000432526,0.000393205,0.001179616,0.000235923,0.001376219,0.000629129,0.00070777,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV362,0.000432526,0.000589808,0.001061655,0.000393205,0.000471846,0.000432526,0.000563594,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV410,0.00074709,0,0,0.000943693,0.005504876,0,0.001199277,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV265,0.000943693,0,0.000393205,0.000904372,0.000983014,0.000786411,0.000668449,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV381,0.000511167,0.00070777,0.001651463,0.000629129,0.000550488,0.000393205,0.000740537,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV283,0.000865052,0.001061655,0.000432526,0.000393205,0.000471846,0.000943693,0.000694663,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV217,0.001336898,0.001336898,0.00074709,0.001100975,0,0.00070777,0.000871605,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV194,0.001494181,0.001179616,0,0,0.001061655,0,0.000622575,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV492,0.000432526,0.000432526,0.000550488,0.001612142,0,0.00074709,0.000629129,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_icense
PASV591,0.000235923,0,0,0.001061655,0.001926707,0.001022334,0.00070777,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV357,0.000629129,0.00070777,0,0.000629129,0.000786411,0.000943693,0.000616022,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV421,0.000511167,0.000432526,0.000314564,0.00074709,0.000786411,0.000589808,0.000563594,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV508,0.000471846,0.000393205,0.000825731,0.001100975,0.000589808,0.000432526,0.000635682,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV349,0.000471846,0.000550488,0.000314564,0.000314564,0.000943693,0.000589808,0.000530827,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV191,0.001533501,0,0,0,0,0.000865052,0.000399759,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV755,0.000235923,0,0.000314564,0.000865052,0.001100975,0.001061655,0.000596362,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV584,0.000275244,0.000235923,0.000589808,0,0.001022334,0.000471846,0.000432526,phoD,p__Actinobacteria_d__Bacteria,c__Actinobacteria_p__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces_parvulus
PASV215,0.000943693,0.000314564,0.000825731,0,0.000865052,0,0.000491507,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV335,0.000786411,0.000550488,0.000550488,0.000393205,0,0.000471846,0.00045874,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV919,0.000314564,0.000550488,0.000589808,0.000157282,0,0.000668449,0.000380099,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV229,0.000904372,0.000943693,0,0.000314564,0.000157282,0.000589808,0.000484953,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV3242,0,0,0,0.000432526,0,0.00070777,0.000190049,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV455,0.000471846,0.000629129,0.001376219,0.00074709,0.000825731,0.000432526,0.00074709,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__Sinorhizobium_sp._CCBAU_05631
PASV596,0.000196603,0.000393205,0.000511167,0.000353885,0,0.000393205,0.000308011,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__Sinorhizobium_fredii
PASV306,0.000825731,0,0.000629129,0.00074709,0,0.000471846,0.000445633,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV411,0.000825731,0.000904372,0.000668449,0.000314564,0.001140296,0.000629129,0.00074709,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV393,0.000550488,0.000865052,0,0.000432526,0.000668449,0.000550488,0.000511167,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_sp._SK17
PASV4816,0,0,0,0.001730104,0.001336898,0,0.000511167,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV769,0.000432526,0.000786411,0.003106323,0,0,0.001376219,0.000950247,phoD,p__Actinobacteria_d__Bacteria,c__Actinobacteria_p__Actinobacteria,o__Streptosporangiales,f__Nocardiopsaceae,g__Nocardiopsis,s__Nocardiopsis_dassonvillei
PASV247,0.001100975,0.000511167,0,0,0.000157282,0,0.000294904,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV747,0.000196603,0.00070777,0.000786411,0,0.000668449,0.001808745,0.000694663,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__Sinorhizobium_sp._CCBAU_05631
PASV510,0.000235923,0.000668449,0,0.000393205,0.000353885,0.000196603,0.000308011,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV389,0.000668449,0.000471846,0.000629129,0,0,0.000550488,0.000386652,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV235,0.001218937,0,0.000786411,0.000865052,0.000983014,0,0.000642236,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV2379,0,0.001572822,0.001100975,0,0.000471846,0.000629129,0.000629129,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV448,0.000471846,0,0,0,0.004050016,0,0.000753644,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV563,0.000353885,0,0.000432526,0.000471846,0.000825731,0.000550488,0.000439079,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV539,0.000314564,0.000471846,0.000393205,0.000117962,0.000275244,0.001297578,0.0004784,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV431,0.000550488,0.000314564,0.000668449,0.000550488,0.001690783,0.000943693,0.000786411,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV380,0.000511167,0.000275244,0.000550488,0.000314564,0.000235923,0.00074709,0.000439079,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV685,0.000393205,0.00074709,0,0,0.000511167,0.000943693,0.000432526,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV334,0.000668449,0.000353885,0.001022334,0.000786411,0.000353885,0,0.000530827,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV233,0.001100975,0,0.000471846,0.000432526,0,0,0.000334225,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV378,0.000511167,0.000196603,0.000550488,0.000157282,0.000235923,0.000943693,0.000432526,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV505,0.000432526,0.000550488,0.000668449,0.000432526,0.000275244,0.000353885,0.000452186,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV366,0.00070777,0,0,0.00070777,0.000943693,0,0.000393206,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV481,0.000511167,0.00074709,0,0,0.000865052,0,0.000353885,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV253,0.001179616,0.001494181,0.000825731,0.00070777,0,0,0.000701216,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV397,0.00070777,0.000471846,7.86E-05,0.000275244,0.000393205,0.000393205,0.000386645,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV348,0.00074709,0.000353885,0.000471846,0.000235923,0.000589808,0.000432526,0.000471846,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV493,0.000393205,0.000393205,0,0.000825731,0.000825731,0.000825731,0.000543934,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_soil_bacterium
PASV808,0.000235923,0.000511167,0,0.00070777,0,0,0.000242477,phoD,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_mandelii
PASV522,0.000353885,0.000314564,0.000825731,0.000275244,0.000353885,0,0.000353885,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV138,0.001572822,0,0,0.001730104,0,0,0.000550488,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV527,0.000393205,0,0.00070777,0,0.000786411,0.000550488,0.000406312,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV440,0.000471846,0,0,0.002634476,0,0,0.00051772,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV873,0.000196603,0,0.00074709,0,0.002752438,0.000825731,0.000753644,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV834,0.000353885,0,0,0.000550488,0.003145643,0,0.000675003,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV718,0.000314564,0.000629129,0.000629129,0,0.000314564,0.000865052,0.00045874,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV369,0.000550488,0.000353885,0,0.000393205,0.000235923,0.000471846,0.000334225,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV594,0.000235923,0.000511167,0.000589808,0.000393205,0.000471846,0,0.000366992,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium_contig00036
PASV456,0.000471846,0.000865052,0,0.000196603,0.000471846,0.00070777,0.000452186,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV295,0.000668449,0,0.000825731,0.000235923,0.000275244,0.000353885,0.000393205,phoD,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Zoogloeaceae,g__Azoarcus,s__Azoarcus_sp._CIB
PASV547,0.000353885,0.000432526,0.000668449,0.000668449,0,0.001022334,0.000524274,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium_contig00036
PASV866,0.000196603,0.000629129,0.000589808,0.000432526,0.000668449,0.000393205,0.000484953,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV610,0.000471846,0.000511167,0.000629129,0.00070777,0.000786411,0,0.000517721,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV365,0.00074709,0.000353885,0,0.000668449,0.000393205,0.000550488,0.000452186,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV711,0.000196603,0.000629129,0,0.000393205,0.000629129,0.000432526,0.000380099,phoD,p__Actinobacteria_d__Bacteria,c__Rubrobacteria,o__Rubrobacterales,f__Rubrobacteraceae,g__Rubrobacter,s__Rubrobacter_xylanophilus
PASV341,0.00070777,0.000393205,0.000432526,0,0.000668449,0,0.000366992,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV548,0.000471846,0.000471846,0.000629129,0.000865052,0.000550488,0.000275244,0.000543934,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV609,0.000235923,0,0,0.00074709,0.000550488,0,0.000255584,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV882,0.000235923,0.000471846,0.000511167,0.000589808,0.000550488,0.000275244,0.000439079,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV413,0.000511167,0.000471846,0.000550488,0.000471846,0.000432526,0,0.000406312,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV303,0.00070777,0.002555835,0,0,0,0.000865052,0.00068811,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV5560,0,0,0,0,0.001848065,0,0.000308011,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV383,0.000550488,0,0,0,0,0.001179616,0.000288351,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV243,0.001022334,0,0,0.001572822,0.000865052,0,0.000576701,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_japonicum
PASV442,0.000629129,0,0,0,0,0.001022334,0.000275244,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV556,0.000353885,0.000314564,7.86E-05,0.000235923,0.000511167,0.000393205,0.000314557,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV1025,0.000157282,0.00074709,0.000668449,0.000432526,0.000550488,0.000629129,0.000530827,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV343,0.00070777,0,0,0,0.001022334,0,0.000288351,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV2419,0,0.000668449,0.001297578,0,7.86E-05,0.00070777,0.000458733,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Aurantimonadaceae,g__Aurantimonas,s__Aurantimonas_coralicida
PASV716,0.000275244,0,0,0.000117962,0.002555835,0,0.000491507,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_sp._S23321
PASV204,0.001336898,0.000393205,0,0.000393205,0,0.000432526,0.000425972,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Afipia,s__Afipia_sp._GAS231
PASV600,0.000432526,0.000471846,0.000196603,0.000983014,0.000629129,0.000629129,0.000557041,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV274,0.000904372,0,0.000825731,0,0.000668449,0,0.000399759,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV536,0.000432526,0,0,0.000589808,0,0,0.000170389,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__Mesorhizobium_sp._B7
PASV269,0.000825731,0.001061655,0,0,0.001376219,0,0.000543934,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV351,0.000629129,0,0.000550488,0,0.000196603,0,0.00022937,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV3213,0,0,0,0,0,0.002083989,0.000347332,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_sp._CCGE-LA001
PASV757,0.000157282,0,0.000589808,0.000511167,0,0,0.00020971,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV5557,0,0,0,0.002319912,0.002398553,0,0.000786411,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV906,0.000117962,0.000432526,0.000511167,0,0.000589808,0.000314564,0.000327671,phoD,p__Actinobacteria_d__Bacteria,c__Actinobacteria_p__Actinobacteria,o__Glycomycetales,f__Glycomycetaceae,g__Stackebrandtia,s__Stackebrandtia_nassauensis
PASV416,0.000629129,0.001730104,0,0,0,0.000471846,0.000471847,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV490,0.000314564,0.000471846,0,0.000550488,0.000353885,0.000275244,0.000327671,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV439,0.00070777,0.000589808,0,0,0,0.001100975,0.000399759,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV815,0.000235923,0,0,0.000432526,0,0.001179616,0.000308011,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV633,0.000314564,0.000589808,0.000157282,0.000353885,0.000393205,0.000629129,0.000406312,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV434,0.000511167,0,0.001022334,0,0,0,0.000255584,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Ensifer,s__Ensifer_adhaerens
PASV340,0.000943693,0,0,0,0.002083989,0,0.000504614,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV390,0.000511167,0,0.000353885,0,0.000511167,0.001140296,0.000419419,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV532,0.000550488,0.000196603,0,0.000275244,0,0,0.000170389,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Ensifer,s__Ensifer_sojae
PASV2434,0,0.000432526,0,0,0.000471846,0.000275244,0.000196603,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV364,0.000511167,0,0,0,0.000825731,0,0.000222816,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV407,0.000629129,0.000589808,0,0,0.000393205,0.000550488,0.000360438,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV384,0.000432526,0.000353885,0.000157282,3.93E-05,0.000550488,0.000275244,0.000301454,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
